osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
305693,152,11,"Región Aysén del General Carlos Ibáñez del Campo",CL,AI,2181,region.aysen.general.carlos.ibanez.campo,CL-AI,67,
198848,152,13,"Región Metropolitana de Santiago",CL,RM,2131,region.metropolitana.santiago,CL-RM,2,
240932,152,2,"Región de Antofagasta",CL,AN,2118,region.antofagasta,CL-AN,,
238392,152,15,"Región de Arica y Parinacota",CL,AP,2109,region.arica.y.parinacota,CL-AP,,
271889,152,3,"Región de Atacama",CL,AT,2120,region.atacama,CL-AT,,
231672,152,4,"Región de Coquimbo",CL,CO,2121,region.coquimbo,CL-CO,,
274991,152,10,"Región de Los Lagos",CL,LL,2178,region.lagos,CL-LL,,
274988,152,14,"Región de Los Ríos",CL,LR,2177,region.rios,CL-LR,,
301542,152,12,"Región de Magallanes y de la Antártica Chilena",CL,MA,2189,region.magallanes.y.la.antartica.chilena,CL-MA,,
238393,152,1,"Región de Tarapacá",CL,TA,2114,region.tarapaca,CL-TA,,
198847,152,5,"Región de Valparaíso",CL,VS,219458,region.valparaiso,CL-VS,,
296378,152,9,"Región de la Araucanía",CL,AR,2176,region.la.araucania,CL-AR,,
7421025,152,16,"Región de Ñuble",CL,NB,24076693,region.nuble,CL-NB,,
252891,152,8,"Región del Biobío",CL,BI,2170,region.biobio,CL-BI,,
206487,152,6,"Región del Libertador General Bernardo O'Higgins",CL,LI,2133,region.libertador.general.bernardo.o.higgins,CL-LI,,
239882,152,7,"Región del Maule",CL,ML,2166,region.maule,CL-ML,,
